Address,AddrCoor,latitude,Longitude
1720 Monroe St.,"1720 Monroe St, Madison, Wisconsin, 53711",43.06567170886944,-89.41602762228042
410 E. Wilson St.,"410 E Wilson St, Madison, Wisconsin, 53703",43.07550506246742,-89.37713948156257
600 block S. Gammon Rd.,"600 N Gammon Rd, Madison, Wisconsin, 53717",43.07515120088056,-89.50254959161862
2200 block Lakeland Ave.,"2200 Lakeland Ave, Madison, Wisconsin, 53704",43.08975021738079,-89.34863545102789
4402 E. Washington Ave.,"4402 E Washington Ave, Madison, Wisconsin, 53704",43.127436381383575,-89.30933781173147
2707 E. Washington Ave.,"2707 E Washington Ave, Madison, Wisconsin, 53704",43.102230066345754,-89.34631661691637
East Towne Mall,East Towne Mall,43.125440000000026,-89.30646999999999
Waunona Way,"Waunona Way, Madison, Wisconsin, 53713",43.04857228174096,-89.35536373976981
N. Brooks St.,"N Brooks St, Madison, Wisconsin, 53715",43.07208279094427,-89.40243729566932
702 Pflaum Rd.,"702 Pflaum Rd, Madison, Wisconsin, 53716",43.06208650894319,-89.31984202553522
202 S. Park St.,"202 S Park St, Madison, Wisconsin, 53715",43.06535886173498,-89.40092663454277
5200 block of Piccadilly Drive,"5200 Piccadilly Dr, Madison, Wisconsin, 53714",43.101541302319,-89.29235624951522
821 E. Washington Ave,"821 E Washington Ave, Madison, Wisconsin, 53703",43.08149614723772,-89.37429280688022
2500 block Fish Hatchery Rd.,"2500 Fish Hatchery Rd, Madison, Wisconsin, 53713",43.03856160538231,-89.4041766987424
4800 block Hayes Rd.,"4800 Hayes Rd, Madison, Wisconsin, 53704",43.138319842880385,-89.3001329061287
3000 block Darbo Dr.,"3000 Darbo Dr, Madison, Wisconsin, 53714",43.103588097514425,-89.34085060106723
1113 N. Sherman Ave.,"1113 N Sherman Ave, Madison, Wisconsin, 53704",43.112232000000006,-89.36374336799605
Chautauqua Trail,"Chautauqua Trl, Madison, Wisconsin, 53719",43.046048843909034,-89.51589892302003
1600 block of Beld St.,"1600 Beld St, Madison, Wisconsin, 53715",43.04973687300737,-89.39277099074572
W. Main St.,"W Main St, Madison, Wisconsin, 53715",43.06572865403579,-89.39455456230853
1500 block Troy Dr,"1500 Troy Dr, Madison, Wisconsin, 53704",43.13444460782504,-89.37080289901388
700 block of East Washington Ave,"700 E Washington Ave, Madison, Wisconsin, 53703",43.079955423318275,-89.37701456756764
4300 block S Stoughton Rd,"4300 N Stoughton Rd, Madison, Wisconsin, 53704",43.14629505416857,-89.32375766460136
Worthington Ave.,"Worthington Ave, Madison, Wisconsin, 53714",43.10251163353864,-89.33658971732892
1700 block Prairie Rd.,"1700 Prairie Rd, Madison, Wisconsin, 53711",43.03451721718405,-89.48874379796584
10 block N. Fairchild Street,"10 S Fairchild St, Madison, Wisconsin, 53703",43.073100380427576,-89.38615676251426
2909 E. Washington Ave.,"2909 E Washington Ave, Madison, Wisconsin, 53704",43.102965796237804,-89.34460155228254
107 State St.,"107 State St, Madison, Wisconsin, 53703",43.07467446681873,-89.38707202553522
Timber Lake Trail,"Timber Lake Trl, Madison, Wisconsin, 53719",43.052111966299286,-89.51107426686627
9600 block Watts Rd.,"Watts Rd, Madison, Wisconsin, 53719",43.05196000603861,-89.51722243477933
2100 block Packers Ave.,"2100 Packers Ave, Madison, Wisconsin, 53704",43.12098710376356,-89.35518114492776
702 Pflaum Road,"702 Pflaum Rd, Madison, Wisconsin, 53716",43.06208650894319,-89.31984202553522
4217 West Beltline Hwy,"4217 W Beltline Hwy, Madison, Wisconsin, 53711",43.034386506780685,-89.44478991618097
6702 Raymond Road,"6702 Raymond Rd, Madison, Wisconsin, 53719",43.03187748268775,-89.49746186081136
17 N Wickham Court,"17 N Wickham Ct, Madison, Wisconsin, 53711",43.03054702334218,-89.49846867981442
